Nitrosomonas,425781
Chitinophaga,325716
Xanthomonas,223031
Acidovorax,209743
Mesorhizobium,198886
Hyphomicrobium,190411
Pedobacter,148858
Rhodopseudomonas,130356
Bacteroides,120989
Flavobacterium,119051
Burkholderia,118165
Stenotrophomonas,103880
Nitrobacter,100803
Cytophaga,95777
Bradyrhizobium,95266
Rhodobacter,92985
Pseudomonas,84948
Rhizobium,84509
Sinorhizobium,77421
Paracoccus,75831
Bordetella,72451
Dyadobacter,71812
Methylobacterium,71121
Chelativorans,66739
Cupriavidus,63557
Leadbetterella,62425
Pseudoxanthomonas,61501
Variovorax,58444
Sphingobacterium,58006
Spirosoma,55918
Albidiferax,54926
Agrobacterium,54171
Brucella,52891
Gramella,50608
Xanthobacter,47069
Alicycliphilus,46181
Caulobacter,46132
Thauera,45943
Delftia,44683
Verminephrobacter,44252
Brevundimonas,42641
Ralstonia,42527
Chryseobacterium,41388
Achromobacter,40600
Parvibaculum,40374
Ruegeria,40195
Roseiflexus,40157
Anaerolinea,39694
Parabacteroides,39285
Prevotella,39032
Xylella,38748
Magnetospirillum,38508
Ochrobactrum,38144
Oligotropha,37981
unclassified (derived from Bacteria),37445
Polaromonas,37267
Bacillus,37176
Rhodopirellula,36837
Truepera,36713
unclassified (derived from Flavobacteriaceae),35668
Clostridium,35205
Gemmatimonas,35105
Geobacter,34464
Comamonas,34391
Chlorobium,33742
Sphingopyxis,32799
Methylibium,32287
Mucilaginibacter,31651
Marivirga,31411
Streptomyces,31235
Rhodospirillum,30903
Aromatoleum,30849
Leptothrix,30341
Planctomyces,29353
Roseobacter,29070
Azorhizobium,28897
Azoarcus,28651
Shewanella,27541
Capnocytophaga,26703
Sphingomonas,26684
Mycobacterium,26508
Janthinobacterium,26323
Deinococcus,25984
Algoriphagus,25170
Microscilla,25168
Maribacter,24763
Polaribacter,23327
Pirellula,23076
Porphyromonas,22720
Rhodomicrobium,22582
Chloroflexus,22476
Blastopirellula,21575
unclassified (derived from Flavobacteriales),21466
Robiginitalea,20959
Zunongwangia,20933
Desulfovibrio,20652
Riemerella,20508
Herpetosiphon,20449
unclassified (derived from Flavobacteriia),20256
Methylocella,20194
Labrenzia,20048
Croceibacter,20009
Anaeromyxobacter,19994
Leeuwenhoekiella,19952
Aurantimonas,19936
Starkeya,19178
Candidatus Solibacter,18214
Synechococcus,18173
Meiothermus,17970
Roseovarius,17703
Dechloromonas,17308
Acinetobacter,17217
Vibrio,17175
Sphaerobacter,16600
Rhodothermus,16486
Nitrosococcus,16440
Leifsonia,16082
Clavibacter,15686
Thermus,15603
Erythrobacter,15443
Marinobacter,15442
unclassified (derived from Gammaproteobacteria),15436
Arthrobacter,15132
Nitrosospira,15070
Curvibacter,14905
Dokdonia,14652
unclassified (derived from Actinobacteria (class)),14502
Bartonella,14488
Oceanicola,14398
Cellulophaga,14355
Myxococcus,14119
Dinoroseobacter,13973
Salinibacter,13919
Paludibacter,13879
Lautropia,13719
Alistipes,13252
Rhodococcus,13033
Phenylobacterium,13000
Herminiimonas,12931
Pelobacter,12813
Azospirillum,12688
Methylobacillus,12494
Chloroherpeton,12422
Psychroflexus,12391
Nocardioides,12353
Corynebacterium,12276
Thiobacillus,12236
Frankia,12168
Hyphomonas,12157
Escherichia,12063
Maritimibacter,11784
Acidiphilium,11580
Methylococcus,11545
Sphingobium,11510
Candidatus Accumulibacter,11296
Thiomonas,11181
Chthoniobacter,11103
Afipia,11077
Hoeflea,10940
Novosphingobium,10860
Bdellovibrio,10833
Candidatus Koribacter,10827
unclassified (derived from Bacteroidetes),10652
Leptospira,10629
Maricaulis,10566
Thioalkalivibrio,10522
Paenibacillus,10502
Weeksella,10431
Geodermatophilus,10405
Pelodictyon,10160
unclassified (derived from Alphaproteobacteria),10105
Chlorobaculum,10078
Polynucleobacter,10012
Verrucomicrobium,9745
Herbaspirillum,9722
Pseudoalteromonas,9661
Neisseria,9570
Opitutus,9336
Lactobacillus,9203
Legionella,9201
Ktedonobacter,9169
Beijerinckia,9145
Cyanothece,9117
Kordia,9107
Rubrobacter,9105
Chromobacterium,8889
Methylosinus,8888
Anabaena,8632
Symbiobacterium,8323
Geobacillus,8302
Candidatus Amoebophilus,8294
Granulibacter,8290
Yersinia,8148
Salmonella,8055
Alkalilimnicola,8041
Aeromonas,7911
Sorangium,7880
Thermobaculum,7853
Ketogulonicigenium,7648
Methylocystis,7628
Haliangium,7591
Conexibacter,7420
Hahella,7353
Isosphaera,7347
Nostoc,7317
Syntrophus,7268
Nitrococcus,7233
Methanosarcina,7161
Pseudovibrio,7097
Haemophilus,7081
Streptococcus,7078
Oscillochloris,6960
Thermomicrobium,6959
Zymomonas,6693
Serratia,6583
Loktanella,6576
Desulfotomaculum,6557
Gloeobacter,6528
Desulfitobacterium,6500
Staphylococcus,6487
Propionibacterium,6467
unclassified (derived from unclassified sequences),6449
Gemmata,6441
Fulvimarina,6304
Prosthecochloris,6289
Methylotenera,6268
Acidithiobacillus,6171
Psychrobacter,6103
unclassified (derived from Rhodobacteraceae),6034
Tetrahymena,6002
Azotobacter,5990
Asticcacaulis,5934
Oceanicaulis,5889
Gluconacetobacter,5783
Roseibium,5638
Xenopus,5628
Stigmatella,5611
Pelagibaca,5605
Magnetococcus,5595
Lutiella,5536
Syntrophobacter,5474
Allochromatium,5415
Sideroxydans,5371
Campylobacter,5322
Citreicella,5301
Alkaliphilus,5289
Chromohalobacter,5274
Limnobacter,5211
Marinomonas,5206
Dehalococcoides,5117
Roseomonas,5057
Salinispora,5001
Acidobacterium,4983
Synechocystis,4958
Parvularcula,4939
Enterobacter,4935
Microcystis,4901
Idiomarina,4874
Alcanivorax,4858
Fusobacterium,4846
Photobacterium,4842
Thermotoga,4825
Klebsiella,4783
Octadecabacter,4768
Saccharopolyspora,4755
unclassified (derived from Peptostreptococcaceae),4717
Rickettsia,4709
Desulfococcus,4687
Halorhodospira,4681
Eubacterium,4647
Thermaerobacter,4615
Spirochaeta,4566
Nitrospira,4563
Congregibacter,4545
Caldanaerobacter,4544
Kribbella,4513
Sagittula,4474
Gluconobacter,4473
Thermobifida,4426
Gallionella,4408
Ahrensia,4404
unclassified (derived from Rhodobacterales),4396
Treponema,4366
Oxalobacter,4341
Helicobacter,4332
Actinobacillus,4329
Bifidobacterium,4307
Cellvibrio,4268
Nematostella,4206
Nakamurella,4170
Caldicellulosiruptor,4165
Saccharophagus,4150
Francisella,4093
Prochlorococcus,4052
unclassified (derived from Deltaproteobacteria),4002
Carboxydothermus,4000
Mycoplasma,4000
Pectobacterium,3999
Micromonospora,3993
Laribacter,3945
Nocardia,3923
Kangiella,3910
Oceanithermus,3722
Streptosporangium,3684
Colwellia,3667
Beutenbergia,3641
Shigella,3618
Paramecium,3603
Hirschia,3602
Methylobacter,3557
Moorella,3526
Candidatus Kuenenia,3510
Acidothermus,3504
Brevibacterium,3500
Dehalogenimonas,3496
Thermoanaerobacter,3441
Listeria,3423
Citrobacter,3419
Plesiocystis,3392
Trichodesmium,3362
Enterococcus,3342
Hydra,3339
Desulfatibacillum,3337
Arthrospira,3332
Oceanibulbus,3320
Denitrovibrio,3300
unclassified (derived from Verrucomicrobiales),3299
Blattabacterium,3290
Dickeya,3263
unclassified (derived from other sequences),3259
Desulfobacterium,3233
Pelotomaculum,3192
